conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword,keyword_file,layer,app_detected,has_aksesibilitas
1981626583787143463,2025-10-24T07:39:29.000Z,1,"Baru tau ternyata BCA udah mulai pakai ATM inklusif. Ada huruf Braille dan colokan audio buat pengguna tunanetra. Langkah kecil tapi berarti besar 💙

Di tempat kalian juga uda ada gag sih? 😊 https://t.co/UWwoVTntEt",1981626583787143463,https://pbs.twimg.com/media/G4Am3qvXcAAq18x.jpg,,in,,0,0,1,https://x.com/cindercella____/status/1981626583787143463,495813831,cindercella____,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1551828348988362753,2022-07-26T07:14:44.000Z,1,"[ Bantu Pembinaan Braile Untuk Anak Tunanetra di Jawa Barat ]

DANA 
085540457643 an PRAMUKTI PROBOJATI YOGA
Shopeepay 
085540457643 an pramyoga8
GOPAY 
085540457643 an Pram
BCA 
2832359638 an M. PRAKARSA H.

Panitia Wisuda Juli ITB 2022
#ParadeWisudaJuli2022
#ANewDawnAhead https://t.co/n02SBwbYpE",1551828348988362753,https://pbs.twimg.com/media/FYkzp46VQAATSpk.jpg,,in,,0,0,0,https://x.com/RadioKampusITB/status/1551828348988362753,70702519,RadioKampusITB,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,"BCA, Dana, GoPay",True
1550780813771280384,2022-07-23T09:52:12.000Z,1,"[ Bantu Pembinaan Braile Untuk Anak Tunanetra di Jawa Barat ]

DANA 
085540457643 an PRAMUKTI PROBOJATI YOGA
Shopeepay 
085540457643 an pramyoga8
GOPAY 
085540457643 an Pram
BCA 
2832359638 an M. PRAKARSA H.

Panitia Wisuda Juli ITB 2022
#ParadeWisudaJuli2022
#ANewDawnAhead https://t.co/b5vxS3dPHh",1550780813771280384,https://pbs.twimg.com/media/FYV67i8akAAtdyw.jpg,,in,,0,0,1,https://x.com/ParahyanganPost/status/1550780813771280384,276847477,ParahyanganPost,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,"BCA, Dana, GoPay",True
1550332771293220864,2022-07-22T04:11:51.000Z,1,"Bantu Pembinaan Braile Untuk Anak Tunanetra di Jawa Barat

DANA
085540457643 an PRAMUKTI PROBOJATI YOGA
Shopeepay
085540457643 an pramyoga8
GOPAY
085540457643 an Pram
BCA
2832359638 an M. PRAKARSA H.

@paradewisudaitb
Panitia Wisuda ITB 2022
#ParadeWisudaJuli2022
#ANewDawnAhead https://t.co/jGZHo9OpvT",1550332771293220864,https://pbs.twimg.com/media/FYPjbwzVsAAZTwY.jpg,,in,,0,0,0,https://x.com/swararadio/status/1550332771293220864,237926396,swararadio,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,"BCA, Dana, GoPay",True
1478522017053818890,2022-01-05T00:21:33.000Z,2,Update Tentang Pelayanan BCA Klaten Terhadap Penyandang Tunanetra - https://t.co/B28DVmjxJ2 CC @HaloBCA,1478522017053818890,,,in,,0,0,0,https://x.com/MediaKonsumenID/status/1478522017053818890,1117529034,MediaKonsumenID,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1291936904032579584,2020-08-08T03:18:55.000Z,2,"Pemikiran ku terbuka ketika 
Bca cerita
Org tunanetra dri lahir, sudah bsr di op pada saat dia naik kereta, dia sangat seng dan sllu bertnya pd ayahnya, apa itu ayh trs2an nanya.
Org di smpgnya anggp dia autis.
Ayahnya berkta ""selama 22 tahun dia buta, ini hari pertama dia mlhat""",1291936904032579584,,,in,,0,0,0,https://x.com/Aisyahsyifa26/status/1291936904032579584,1217753442552180736,Aisyahsyifa26,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1260811646030630912,2020-05-14T05:58:15.000Z,2,"Yuk, kita menjadi bagian dalam merealisasikan 300 Set AlQuran Braille untuk Insan Tunanetra di seluruh Indonesia.⁣
.
No rekening kami untuk transfer wakaf :⁣ 1. Bank mandiri 13000 14000 999⁣

2. Syariah mandiri 71 80000 989⁣

3. BCA 810 0877 881⁣
A.n ummi maktum voice⁣ https://t.co/SC98iCUxek",1260811646030630912,https://pbs.twimg.com/media/EX9NBS8U4AAS5jo.jpg,,in,,0,0,0,https://x.com/PRFMnews/status/1260811646030630912,150589950,PRFMnews,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,"BCA, Mandiri",True
1188369501781282821,2019-10-28T07:36:55.000Z,0,"@__Naffa @mahasiswamlg @infomalang pijet tunanetra : jl.kahuripan blkg BCA kayotngan, 
rampal, 
stelah e savana kiri jlam deretan hotel amaris",1188721289290059777,,__Naffa,in,,0,0,0,https://x.com/iyasiapatau/status/1188721289290059777,1150808777442000896,iyasiapatau,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1187935010369654786,2019-10-26T03:32:31.000Z,0,"klo bca ini hidup kok seakan sempurna sekali, disisi lain klo baca yg ini: Sang Tunanetra Pengajar Ngaji Tunanetra dengan Al Quran Braile https://t.co/i4mdo8PKCJ hidup sptnya sangat sempurna sekali dlm kelemahan dan kekurangan,",1187935010369654786,,,in,,1,0,0,https://x.com/suratim/status/1187935010369654786,58367767,suratim,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
1081935503589486592,2019-01-06T15:42:39.000Z,0,"@arikwj_ @infomalang pijat tunanetra,  samping bca kayutangan...rampal... 40rb 👌",1081939106714705921,,arikwj_,in,,0,0,0,https://x.com/pramt4t4/status/1081939106714705921,2535102605,pramt4t4,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
